osm_type,osm_id,kind,name,brand,operator,addr_full,addr_street,addr_city,addr_postcode,opening_hours,phone,website,lat,lon
node,7468425214,fuel_agil,Ariana,Agil,,,,,,,,,36.8766154,10.1857773
node,7468425222,fuel_agil,Bir Lahmar,Agil,,,,,,,,,33.1775517,10.4427225
node,7468425218,fuel_agil,Dar Allouche,Agil,,,,,,,,,36.971651,11.048776
node,7468425241,fuel_agil,El Ala,Agil,,,,,,,,,35.6186454,9.5623974
node,7468425219,fuel_agil,Maamoura,Agil,,,,,,,,,36.47333,10.801129
node,7468425238,fuel_agil,Menzel Mehiri,Agil,,,,,,,,,35.4269243,9.8542649
node,7468425217,fuel_agil,Ras Djebel,Agil,,,,,,,,,37.2242063,10.0980158
node,7468425256,fuel_agil,Sidi Smail,Agil,,,,,,,,,36.5999674,9.1094398
way,191002808,fuel_agil,عجيل,AGIL,,,,,,,,,36.332625,9.3276351
node,9022342158,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,رمادة,,,,,32.3199182,10.3985487
way,1070347342,fuel_agil,عجيل,Agil,,,,,,,,,32.9315266,10.4508394
node,7468425221,fuel_agil,عجيل,Agil,SNDP,,,,,,,,33.0062543,10.811997
node,9052966320,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,بنقردان,4160,,,,33.1399572,11.2173282
node,7468425224,fuel_agil,عجيل,Agil,,,,,,,,,33.3487276,10.4870122
node,9944920261,fuel_agil,عجيل,Agil,,,,,,,,,33.3617719,8.6863593
node,9051778261,fuel_agil,عجيل,Agil,,,,,,,,,33.3672487,10.5054873
node,7468425223,fuel_agil,عجيل,Agil,,,,,,,,,33.4980798,11.092232
node,9780231701,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,33.7162987,8.974592
node,7468425228,fuel_agil,عجيل,Agil,,,,,,,,,33.7570389,10.2053799
node,7375359117,fuel_agil,عجيل,Agil,,,,,4212,,,,33.7836983,8.8259197
node,7468425229,fuel_agil,عجيل,Agil,,,,,,,,,33.8355803,10.1204261
node,9368376586,fuel_agil,عجيل,Agil,,,,,,,,,33.8736555,7.8950627
node,2813342187,fuel_agil,عجيل,Agil,SNDP,,,,,,,,33.8837938,10.0862073
node,7468425226,fuel_agil,عجيل,Agil,,,,,,,,,33.8961703,9.8110116
node,7468425227,fuel_agil,عجيل,Agil,,,,,,,,,33.899017,10.073753
node,7468425225,fuel_agil,عجيل,Agil,,,,,,,,,33.9781045,8.2080614
node,9383948057,fuel_agil,عجيل,Agil,,,,قفصة,,,,,34.4149613,8.792346
node,2163071584,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,34.4227125,8.7627364
node,9366250227,fuel_agil,عجيل,Agil,,,,,,,,,34.5729936,9.413977
node,9366250219,fuel_agil,عجيل,Agil,,,,,,,,,34.6087069,9.6174612
node,10604330725,fuel_agil,عجيل,Agil,,,,,,,,,34.7138297,10.724787
node,8987912237,fuel_agil,عجيل,Agil,,,,,,,,,34.7393706,10.0935727
node,7373218226,fuel_agil,عجيل,Agil,,,,Majel Bel Abbès,,,,,34.7473443,8.5221248
node,8987540395,fuel_agil,عجيل,Agil,,,,,,,,,34.7534895,10.7620495
node,9457435878,fuel_agil,عجيل,Agil,,,,,,,,,34.8609999,9.7961988
node,7468425237,fuel_agil,عجيل,Agil,,,,,,,,,34.9476154,8.5701795
node,7468425231,fuel_agil,عجيل,Agil,SNDP,,,,,,,,34.9623446,9.9481973
node,9383385091,fuel_agil,عجيل,Agil,,,,,,,,,34.9696877,10.3717387
node,9905413571,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,سيدي بوزيد,,,,,35.0389844,9.4918913
node,9042503871,fuel_agil,عجيل,Agil,,,,,,,,,35.14536,10.7335754
node,7468425236,fuel_agil,عجيل,Agil,,,,,,,,,35.1681883,8.8194814
node,9003667178,fuel_agil,عجيل,Agil,,,,,,,,,35.2586647,10.6504181
node,7328928060,fuel_agil,عجيل,Agil,,,,,,,,,35.3135081,10.6963729
node,9037886330,fuel_agil,عجيل,Agil,,,,,,,,,35.4022795,9.51789
node,9881016549,fuel_agil,عجيل,Agil,,,,,,,,,35.4695956,10.6576269
node,5760071216,fuel_agil,عجيل,Agil,Agil,,,,,,,,35.6374531,10.8961952
node,1225571901,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,5070,,,,35.6609233,10.8741033
node,9056163920,fuel_agil,عجيل,Agil,,,,,,,,,35.6925569,10.7918549
node,4513882421,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,24/7,,,35.732378,10.574056
node,5811750154,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,35.813832,10.6286922
node,9040825129,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,35.8588202,10.5975294
node,9019949058,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,35.9321686,10.3001188
node,9385815198,fuel_agil,عجيل,Agil,,,,,,,,,35.9456848,8.830864
node,1439531922,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,36.0410927,10.327059
node,9372302454,fuel_agil,عجيل,Agil,Agil,,َشارع الطيب المهيري,,,,,,36.0836648,9.3745101
node,9372026888,fuel_agil,عجيل,Agil,,,,برقو,6170,,,,36.0936156,9.5697179
node,7468425252,fuel_agil,عجيل,Agil,,,,,,,,,36.2156933,8.3572271
node,9821209406,fuel_agil,عجيل,Agil,,,,,,,,,36.3609477,10.2154744
node,8213917791,fuel_agil,عجيل,Agil,,,,El Fahs,,,,,36.3773465,9.9048951
node,9799677415,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,36.4575898,10.7306478
way,677056491,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,36.468118,10.8029797
node,9360947248,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,جندوبة,,,,,36.5038033,8.78747
node,9360947233,fuel_agil,عجيل,Agil,,,,جندوبة,,,,,36.5185419,8.7552124
node,9040329179,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,36.5225813,10.5582514
node,9819383545,fuel_agil,عجيل,Agil,,,,,,,,,36.5728187,10.8582656
node,7354411970,fuel_agil,عجيل,Agil,,,,,,,,,36.5777907,9.5058154
node,9040329149,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,36.5983002,10.4996668
node,9360947284,fuel_agil,عجيل,Agil,,,,,,,,,36.6138041,8.9805567
node,9797231797,fuel_agil,عجيل,Agil,,,,,,,,,36.6485265,9.6121004
node,9373139300,fuel_agil,عجيل,Agil,,,,,,,,,36.6491249,9.6712969
way,207216140,fuel_agil,عجيل,Agil,عجيل,,,بني خلاد,,,,,36.6531148,10.5894189
way,111661111,fuel_agil,عجيل,Agil,,,,القريعات,,,,,36.6534994,9.7918848
node,330466662,fuel_agil,عجيل,Agil,,,,القريعات,,,,,36.6536011,9.7916809
way,111661104,fuel_agil,عجيل,Agil,,,,القريعات,,,,,36.6554192,9.792129
node,9821898235,fuel_agil,عجيل,Agil,,,,Soliman,,,,,36.6901753,10.514712
node,9040179230,fuel_agil,عجيل,Agil,,,,Borj Essedria,,,,,36.7028629,10.398008
node,7468425257,fuel_agil,عجيل,Agil,,,,Béja,,,,,36.7267491,9.1895296
node,9801547688,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,36.772494,10.2028899
way,253063086,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,36.7904004,10.1832145
way,100081158,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,شارع الحبيب بورقيبة,تونس,1001,,,,36.7999944,10.1883249
way,152205593,fuel_agil,عجيل,Agil,,,,,,,,,36.8019458,10.2792662
way,202786321,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,36.8210865,10.3080504
node,9927664939,fuel_agil,عجيل,Agil,,,,,,,,,36.8364855,10.0093733
way,98620384,fuel_agil,عجيل,Agil,,,,,,,,,36.8961451,10.2939157
node,9333823305,fuel_agil,عجيل,Agil,,,,النشع,,,,,36.8966968,10.8486703
node,9382632734,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,36.9068618,10.1097647
node,1374300495,fuel_agil,عجيل,Agil,,,,منزل سالم,,,,,37.032521,10.973159
node,9382003869,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,ماطر,,,,,37.0381529,9.6749639
node,7468425216,fuel_agil,عجيل,Agil,,,,,,,,,37.150263,9.982435
node,9016130770,fuel_agil,عجيل,Agil,,,,,,,,,37.153812,9.7931308
node,9791251048,fuel_agil,عجيل,Agil,,,,,,,,,37.1900264,10.1794445
node,9382657570,fuel_agil,عجيل,Agil,,,,جرزونة,,,,,37.2624531,9.8899173
node,7468425248,fuel_agil,عجيل السواسي,Agil,,,,,,,,,35.3473874,10.5524597
node,9812651745,fuel_agil,عجيل الغريبة,Agil,,,,,,,,,34.4932853,10.2115862
node,8987871069,fuel_agil,عجيل المحرس,Agil,الشركة الوطنية لتوزيع البترول,,شارع الحبيب بورقيبة,المحرس,3060,,,,34.521399,10.4965826
node,8987520922,fuel_agil,عجيل بودريار 2,Agil,,,,,,,,,34.7594839,10.7786423
node,7468425235,fuel_agil,عجيل تالة,Agil,الشركة الوطنية لتوزيع البترول,,,تالة,1210,,,,35.57817,8.6691528
node,9043396234,fuel_agil,عجيل تنيور,Agil,,,,,,,,,34.7472515,10.7598713
node,349294965,fuel_agil,عجيل حاسي عمر,Agil,الشركة الوطنية لتوزيع البترول,,,حاسي عمر,,,,,33.3639001,10.6149399
node,8987753245,fuel_agil,عجيل حي المعز,Agil,الشركة الوطنية لتوزيع البترول,,,طينة,,,,,34.6841258,10.7038557
node,9360073778,fuel_agil,عجيل سبيطلة,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,35.2302476,9.1309455
node,8987520921,fuel_agil,عجيل غاز بودريار,Agil,,,,,,,,,34.7598622,10.7789377
